TARGET,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,CODE_GENDER,FLAG_OWN_CAR,NAME_CONTRACT_TYPE
0,157500.0,168102.0,15844.5,148500.0,0.020246,-9119,-411,F,Y,Cash loans
0,135000.0,398016.0,26725.5,360000.0,0.014464,-11644,-1192,M,N,Cash loans
0,247500.0,675000.0,28728.0,675000.0,0.0088659999999999,-18434,-2483,F,Y,Cash loans
0,225000.0,315000.0,15750.0,315000.0,0.002042,-19491,365243,F,N,Revolving loans
0,157500.0,1035000.0,33385.5,1035000.0,0.008625,-10224,-1220,M,N,Cash loans
0,301500.0,2250000.0,83385.0,2250000.0,0.0145199999999999,-21536,365243,F,N,Cash loans
0,94500.0,314100.0,16164.0,225000.0,0.0060079999999999,-16617,-309,F,N,Cash loans
0,153000.0,270000.0,13500.0,270000.0,0.026392,-22921,-3770,F,N,Revolving loans
0,112500.0,490495.5,27387.0,454500.0,0.030755,-22771,365243,M,N,Cash loans
0,54000.0,183384.0,17995.5,162000.0,0.015221,-16768,-2623,F,N,Cash loans
0,202500.0,1350000.0,53541.0,1350000.0,0.010276,-15909,-1659,M,Y,Cash loans
0,180000.0,318528.0,25294.5,252000.0,0.0228,-14315,-4080,F,N,Cash loans
0,112500.0,545040.0,20677.5,450000.0,0.025164,-12608,-2947,F,N,Cash loans
0,202500.0,808650.0,24732.0,675000.0,0.072508,-19742,365243,M,Y,Cash loans
0,202500.0,923454.0,34056.0,661500.0,0.016612,-16345,-3386,M,N,Cash loans
0,45000.0,412942.5,32755.5,373500.0,0.020246,-11151,-2878,F,N,Cash loans
0,90000.0,215865.0,22117.5,202500.0,0.00712,-23738,365243,F,N,Cash loans
0,112500.0,337221.0,22536.0,337221.0,0.018209,-18878,-3453,F,N,Cash loans
0,180000.0,239850.0,25317.0,225000.0,0.030755,-19890,365243,M,Y,Cash loans
0,90000.0,101880.0,9922.5,90000.0,0.007305,-23417,365243,M,N,Cash loans
0,157500.0,679500.0,22585.5,679500.0,0.028663,-13675,-440,F,Y,Cash loans
0,90000.0,247500.0,12375.0,247500.0,0.0145199999999999,-15554,-767,F,N,Revolving loans
0,157500.0,700830.0,20488.5,585000.0,0.020246,-15882,-296,F,N,Cash loans
0,180000.0,352044.0,16542.0,247500.0,0.04622,-14767,-1170,M,N,Cash loans
0,157500.0,495216.0,26995.5,427500.0,0.0031219999999999,-13839,-722,F,N,Cash loans
0,256500.0,2290743.0,60556.5,2047500.0,0.00702,-14320,-1310,M,Y,Cash loans
0,135000.0,225000.0,15349.5,225000.0,0.026392,-9918,-1807,M,N,Cash loans
0,112500.0,225000.0,14377.5,225000.0,0.009175,-14087,-1890,F,N,Cash loans
0,126000.0,980005.5,31428.0,846000.0,0.009549,-20558,365243,F,N,Cash loans
0,103500.0,130810.5,10462.5,108000.0,0.0060079999999999,-10188,-947,F,N,Cash loans
0,90000.0,675000.0,21906.0,675000.0,0.005002,-15019,-3073,F,N,Cash loans
0,135000.0,270000.0,13500.0,270000.0,0.0196889999999999,-11454,-2699,F,Y,Revolving loans
0,157500.0,1227901.5,46899.0,1129500.0,0.009175,-12409,-3264,M,Y,Cash loans
0,315000.0,450000.0,36211.5,450000.0,0.010006,-15990,-1983,M,Y,Cash loans
0,76500.0,979992.0,31743.0,702000.0,0.020246,-12888,-4054,F,N,Cash loans
0,225000.0,533668.5,25803.0,477000.0,0.04622,-11954,-2426,M,N,Cash loans
0,418500.0,1435500.0,39474.0,1435500.0,0.009334,-11612,-416,M,N,Cash loans
0,135000.0,545040.0,25537.5,450000.0,0.0084739999999999,-12697,-5058,M,Y,Cash loans
0,189000.0,1493086.5,52029.0,1363500.0,0.010147,-14481,-1861,F,N,Cash loans
0,166500.0,225000.0,11250.0,225000.0,0.009334,-14160,-2171,M,Y,Revolving loans
0,90000.0,47970.0,5166.0,45000.0,0.01885,-17021,-164,M,Y,Cash loans
0,67500.0,675000.0,19867.5,675000.0,0.0145199999999999,-11471,-90,F,N,Cash loans
0,112500.0,263686.5,29880.0,238500.0,0.00963,-9098,-929,M,N,Cash loans
0,81000.0,521280.0,35392.5,450000.0,0.015221,-12526,-2174,F,Y,Cash loans
0,405000.0,1885536.0,103324.5,1800000.0,0.006629,-23284,365243,F,N,Cash loans
0,202500.0,193572.0,11241.0,171000.0,0.016612,-13275,-827,M,Y,Cash loans
0,135000.0,180000.0,9000.0,180000.0,0.005084,-13198,-739,M,N,Revolving loans
